patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_72_88,['Arable land'],train,Serbia,S1B_IW_GRDH_1SDV_20180429T163254_34TCR_72_88,S2A_MSIL2A_20180430T094031_72_88,False,False
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_42_89,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Lithuania,S1A_IW_GRDH_1SDV_20170808T043524_35ULA_42_89,S2B_MSIL2A_20170808T094029_42_89,False,False
S2A_MSIL2A_20171002T094031_N9999_R036_T34TCR_72_03,['Arable land'],train,Serbia,S1B_IW_GRDH_1SDV_20170929T045327_34TCR_72_3,S2A_MSIL2A_20171002T094031_72_3,False,False
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_40_87,"['Coniferous forest' 'Mixed forest'
 'Natural grassland and sparsely vegetated areas' 'Pastures']",train,Austria,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_40_87,S2A_MSIL2A_20180506T100031_40_87,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_05_09,"['Broad-leaved forest' 'Complex cultivation patterns' 'Coniferous forest'
 'Mixed forest' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_5_9,S2A_MSIL2A_20171221T112501_5_9,False,False
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_00_60,['Marine waters'],train,Portugal,S1B_IW_GRDH_1SDV_20170812T063420_29SNC_0_60,S2A_MSIL2A_20170813T112121_0_60,False,False
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_89_11,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Mixed forest' 'Pastures' 'Transitional woodland, shrub' 'Urban fabric']",train,Lithuania,S1A_IW_GRDH_1SDV_20170925T043501_35ULB_89_11,S2B_MSIL2A_20170927T094019_89_11,False,False
S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_00_76,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170826T163327_34TEQ_0_76,S2B_MSIL2A_20170825T093029_0_76,False,False
S2A_MSIL2A_20170717T113321_N9999_R080_T29UPA_37_80,['Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20170717T064605_29UPA_37_80,S2A_MSIL2A_20170717T113321_37_80,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_86_53,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_86_53,S2A_MSIL2A_20170613T101032_86_53,False,False
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_19_04,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_19_4,S2A_MSIL2A_20180506T100031_19_4,False,False
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_19_09,"['Arable land' 'Coniferous forest' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20180524T154041_35VNL_19_9,S2B_MSIL2A_20180525T094029_19_9,False,False
S2A_MSIL2A_20180419T101031_N9999_R022_T34VDN_85_57,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180420T161303_34VDN_85_57,S2A_MSIL2A_20180419T101031_85_57,False,False
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_01_87,['Arable land' 'Broad-leaved forest'],train,Lithuania,S1B_IW_GRDH_1SDV_20180510T044232_35VLC_1_87,S2A_MSIL2A_20180510T094031_1_87,False,False
S2A_MSIL2A_20180419T101031_N9999_R022_T34VDN_43_84,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180420T161303_34VDN_43_84,S2A_MSIL2A_20180419T101031_43_84,False,False
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_46_84,['Arable land' 'Broad-leaved forest'],train,Lithuania,S1A_IW_GRDH_1SDV_20170928T161125_35ULB_46_84,S2B_MSIL2A_20170927T94020_46_84,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_72_87,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_72_87,S2A_MSIL2A_20170613T101032_72_87,False,False
S2B_MSIL2A_20180509T092029_N9999_R093_T34TFN_16_05,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20180511T043832_34TFN_16_5,S2B_MSIL2A_20180509T092029_16_5,False,False
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_80_90,['Arable land' 'Coniferous forest' 'Urban fabric'],train,Finland,S1B_IW_GRDH_1SDV_20170817T045637_34WFS_80_90,S2B_MSIL2A_20170817T101019_80_90,False,False
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_58_00,['Agro-forestry areas' 'Arable land' 'Permanent crops'],train,Portugal,S1A_IW_GRDH_1SDV_20171004T183515_29SNC_58_0,S2A_MSIL2A_20171002T112111_58_0,False,False
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_31_05,"['Arable land' 'Broad-leaved forest' 'Transitional woodland, shrub']",train,Portugal,S1B_IW_GRDH_1SDV_20171004T064231_29SNB_31_5,S2A_MSIL2A_20171002T112112_31_5,False,False
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_45_90,"['Agro-forestry areas' 'Broad-leaved forest' 'Pastures' 'Permanent crops'
 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_45_90,S2A_MSIL2A_20170704T112111_45_90,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_38_84,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_38_84,S2B_MSIL2A_20170914T093029_38_84,False,False
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_56_08,['Agro-forestry areas' 'Inland waters' 'Pastures'],train,Portugal,S1A_IW_GRDH_1SDV_20170812T182712_29SNC_56_8,S2A_MSIL2A_20170813T112121_56_8,False,False
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_34_85,['Coniferous forest' 'Pastures'],train,Austria,S1A_IW_GRDH_1SDV_20180507T050948_33UWP_34_85,S2A_MSIL2A_20180506T100031_34_85,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_60_84,['Agro-forestry areas' 'Broad-leaved forest'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_60_84,S2B_MSIL2A_20180515T112110_60_84,False,False
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_87_01,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170903T153258_35VNL_87_1,S2A_MSIL2A_20170905T095031_87_1,False,False
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_69_88,['Coniferous forest' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_69_88,S2B_MSIL2A_20180525T094029_69_88,False,False
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_86_53,"['Coniferous forest' 'Inland wetlands' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_86_53,S2B_MSIL2A_20170906T101020_86_53,False,False
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_41_05,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Lithuania,S1B_IW_GRDH_1SDV_20170929T045032_34UEG_41_5,S2B_MSIL2A_20170930T095019_41_5,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_56_01,"['Inland waters' 'Transitional woodland, shrub']",train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_56_1,S2B_MSIL2A_20180515T112110_56_1,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_01_65,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170613T160455_34VER_1_65,S2A_MSIL2A_20170613T101031_1_65,False,False
S2B_MSIL2A_20170924T093019_N9999_R136_T36VVQ_00_18,"['Coniferous forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170922T152425_36VVQ_0_18,S2B_MSIL2A_20170924T093019_0_18,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_72_07,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_72_7,S2B_MSIL2A_20180515T112110_72_7,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_68_87,"['Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_68_87,S2A_MSIL2A_20171208T093351_68_87,False,False
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_03_82,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Mixed forest']",train,Lithuania,S1A_IW_GRDH_1SDV_20170808T043524_35ULA_3_82,S2B_MSIL2A_20170808T094029_3_82,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_05_78,['Arable land'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_5_78,S2B_MSIL2A_20180515T112110_5_78,False,False
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_34_81,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_34_81,S2B_MSIL2A_20170924T93021_34_81,False,False
S2B_MSIL2A_20170801T095029_N9999_R079_T33TXN_21_05,['Complex cultivation patterns' 'Inland wetlands' 'Permanent crops'],train,Austria,S1B_IW_GRDH_1SDV_20170801T164200_33TXN_21_5,S2B_MSIL2A_20170801T095029_21_5,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_01_47,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops' 'Transitional woodland, shrub' 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_1_47,S2A_MSIL2A_20171221T112501_1_47,False,False
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_07_54,['Marine waters'],train,Portugal,S1A_IW_GRDH_1SDV_20180327T064326_29SNB_7_54,S2B_MSIL2A_20180326T112109_7_54,False,False
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_55_09,"['Broad-leaved forest' 'Coniferous forest' 'Inland waters'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064235_29SND_55_9,S2A_MSIL2A_20170704T112111_55_9,False,False
S2B_MSIL2A_20180428T095029_N9999_R079_T33TXN_05_33,['Broad-leaved forest' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20180428T164218_33TXN_5_33,S2B_MSIL2A_20180428T095029_5_33,False,False
S2B_MSIL2A_20171016T101009_N9999_R022_T34VDM_85_48,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20171016T045754_34VDM_85_48,S2B_MSIL2A_20171016T101009_85_48,False,False
S2B_MSIL2A_20180511T100029_N9999_R122_T34VDM_47_09,['Marine waters' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180514T161304_34VDM_47_9,S2B_MSIL2A_20180511T100029_47_9,False,False
S2B_MSIL2A_20170830T102019_N9999_R065_T34VDR_59_81,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20170830T160543_34VDR_59_81,S2B_MSIL2A_20170830T102019_59_81,False,False
S2B_MSIL2A_20180511T100029_N9999_R122_T34VDM_79_73,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180509T045023_34VDM_79_73,S2B_MSIL2A_20180511T100029_79_73,False,False
S2B_MSIL2A_20170719T094029_N9999_R036_T34TCS_78_82,['Arable land'],train,Serbia,S1B_IW_GRDH_1SDV_20170719T045324_34TCS_78_82,S2B_MSIL2A_20170719T094029_78_82,False,False
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_54_04,"['Coniferous forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_54_4,S2B_MSIL2A_20180525T094029_54_4,False,False
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNJ_85_29,"['Broad-leaved forest' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20171101T153951_35VNJ_85_29,S2A_MSIL2A_20171101T94132_85_29,False,False
S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_18_02,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units' 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20180422T044556_34TEQ_18_2,S2B_MSIL2A_20180422T093029_18_2,False,False
S2A_MSIL2A_20180419T101031_N9999_R022_T34VDN_85_30,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180420T161328_34VDN_85_30,S2A_MSIL2A_20180419T101031_85_30,False,False
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_84_82,['Complex cultivation patterns' 'Pastures' 'Permanent crops'],train,Portugal,S1A_IW_GRDH_1SDV_20171004T183450_29SNB_84_82,S2A_MSIL2A_20171002T112112_84_82,False,False
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_86_05,['Agro-forestry areas' 'Arable land'],train,Portugal,S1A_IW_GRDH_1SDV_20180226T063447_29SNC_86_5,S2B_MSIL2A_20180224T112109_86_5,False,False
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_66_03,['Coniferous forest'],train,Finland,S1A_IW_GRDH_1SDV_20170630T152421_35VPK_66_3,S2A_MSIL2A_20170701T093031_66_3,False,False
S2A_MSIL2A_20171015T095031_N9999_R079_T33UXP_06_83,['Arable land' 'Permanent crops'],train,Austria,S1A_IW_GRDH_1SDV_20171015T050950_33UXP_6_83,S2A_MSIL2A_20171015T095031_6_83,False,False
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_64_09,"['Complex cultivation patterns' 'Coniferous forest' 'Pastures'
 'Transitional woodland, shrub' 'Urban fabric']",train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_64_9,S2B_MSIL2A_20180220T114339_64_9,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_89_68,['Arable land' 'Permanent crops'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063421_29SNC_89_68,S2B_MSIL2A_20180515T112109_89_68,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_33_04,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_33_4,S2A_MSIL2A_20171208T093351_33_4,False,False
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_44_82,['Marine waters'],train,Portugal,S1A_IW_GRDH_1SDV_20171004T183450_29SNB_44_82,S2A_MSIL2A_20171002T112112_44_82,False,False
S2B_MSIL2A_20180506T105029_N9999_R051_T31UER_30_02,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",train,Belgium,S1A_IW_GRDH_1SDV_20180509T174044_31UER_30_2,S2B_MSIL2A_20180506T105029_30_2,False,False
S2A_MSIL2A_20170905T095031_N9999_R079_T35WPN_07_61,['Coniferous forest' 'Inland waters'],train,Finland,S1B_IW_GRDH_1SDV_20170904T152418_35WPN_7_61,S2A_MSIL2A_20170905T95032_7_61,False,False
S2B_MSIL2A_20170923T100019_N9999_R122_T33TWM_49_00,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20170923T164942_33TWM_49_0,S2B_MSIL2A_20170923T100019_49_0,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_24_86,['Arable land' 'Broad-leaved forest'],train,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_24_86,S2A_MSIL2A_20171221T112501_24_86,False,False
S2A_MSIL2A_20170717T113321_N9999_R080_T29UPV_58_86,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1B_IW_GRDH_1SDV_20170717T064630_29UPV_58_86,S2A_MSIL2A_20170717T113321_58_86,False,False
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_10_72,['Arable land' 'Urban fabric'],train,Kosovo,S1A_IW_GRDH_1SDV_20171207T162450_34TEN_10_72,S2A_MSIL2A_20171208T093351_10_72,False,False
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_16_83,"['Complex cultivation patterns' 'Inland wetlands' 'Mixed forest'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_16_83,S2B_MSIL2A_20180220T114339_16_83,False,False
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_30_80,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_30_80,S2B_MSIL2A_20170924T93021_30_80,False,False
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_42_87,"['Broad-leaved forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_42_87,S2B_MSIL2A_20170924T093019_42_87,False,False
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_03_81,['Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_3_81,S2B_MSIL2A_20180220T114339_3_81,False,False
S2A_MSIL2A_20180318T093031_N9999_R136_T35UMB_27_04,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",train,Lithuania,S1A_IW_GRDH_1SDV_20180317T155512_35UMB_27_4,S2A_MSIL2A_20180318T093031_27_4,False,False
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_10_55,['Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170817T045637_34WFS_10_55,S2B_MSIL2A_20170817T101019_10_55,False,False
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_51_09,['Arable land' 'Coniferous forest' 'Pastures'],train,Lithuania,S1A_IW_GRDH_1SDV_20180413T161957_34UEG_51_9,S2A_MSIL2A_20180413T095031_51_9,False,False
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_88_07,['Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20170925T043321_35VNH_88_7,S2B_MSIL2A_20170924T093019_88_7,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_63_79,['Agro-forestry areas' 'Broad-leaved forest'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063356_29SND_63_79,S2B_MSIL2A_20180515T112110_63_79,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_75_85,['Broad-leaved forest' 'Complex cultivation patterns'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_75_85,S2B_MSIL2A_20170914T093029_75_85,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_01_37,['Arable land'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_1_37,S2B_MSIL2A_20170914T093029_1_37,False,False
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_06_69,['Inland wetlands' 'Pastures' 'Urban fabric'],train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_6_69,S2B_MSIL2A_20180220T114339_6_69,False,False
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_84_89,['Marine waters'],train,Ireland,S1B_IW_GRDH_1SDV_20180225T063842_29UPU_84_89,S2A_MSIL2A_20180225T114351_84_89,False,False
S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_80_56,"['Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1B_IW_GRDH_1SDV_20180423T043716_34TEQ_80_56,S2B_MSIL2A_20180422T093029_80_56,False,False
S2B_MSIL2A_20180511T100029_N9999_R122_T34VDM_08_23,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20180512T162925_34VDM_8_23,S2B_MSIL2A_20180511T100029_8_23,False,False
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_10_87,['Marine waters'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063421_29SNC_10_87,S2B_MSIL2A_20180515T112109_10_87,False,False
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_52_79,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops' 'Urban fabric']",train,Portugal,S1B_IW_GRDH_1SDV_20180327T183408_29SNB_52_79,S2B_MSIL2A_20180326T112109_52_79,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_08_27,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162451_34TEP_8_27,S2B_MSIL2A_20170914T93030_8_27,False,False
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_03_15,"['Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1A_IW_GRDH_1SDV_20180415T160451_35VLG_3_15,S2A_MSIL2A_20180413T95032_3_15,False,False
S2B_MSIL2A_20180428T095029_N9999_R079_T33TXN_02_44,['Broad-leaved forest' 'Mixed forest'],train,Austria,S1A_IW_GRDH_1SDV_20180428T164218_33TXN_2_44,S2B_MSIL2A_20180428T095029_2_44,False,False
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_87_02,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Lithuania,S1A_IW_GRDH_1SDV_20170808T043459_35ULA_87_2,S2B_MSIL2A_20170808T094029_87_2,False,False
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_53_00,['Marine waters'],train,Finland,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_53_0,S2B_MSIL2A_20170906T101019_53_0,False,False
S2A_MSIL2A_20170803T094031_N9999_R036_T34TCR_80_51,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170802T163325_34TCR_80_51,S2A_MSIL2A_20170803T094031_80_51,False,False
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_89_14,['Arable land'],train,Serbia,S1B_IW_GRDH_1SDV_20180429T163254_34TCR_89_14,S2A_MSIL2A_20180430T094031_89_14,False,False
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_29_07,['Broad-leaved forest' 'Complex cultivation patterns' 'Mixed forest'],train,Portugal,S1A_IW_GRDH_1SDV_20170812T182712_29SNC_29_7,S2A_MSIL2A_20170813T112121_29_7,False,False
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_57_80,"['Inland waters' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1B_IW_GRDH_1SDV_20180524T042416_35VNK_57_80,S2B_MSIL2A_20180525T94030_57_80,False,False
S2A_MSIL2A_20180529T115401_N9999_R023_T29UNB_78_55,['Marine waters'],train,Ireland,S1A_IW_GRDH_1SDV_20180529T181504_29UNB_78_55,S2A_MSIL2A_20180529T115401_78_55,False,False
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_42_01,"['Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_42_1,S2B_MSIL2A_20180220T114339_42_1,False,False
